species	body_size_kg	discription_measurement	measurement_mm
spheniscus_demersus	3.05	lowest_length	67.50
spheniscus_demersus	3.05	highest_length	74.00
spheniscus_demersus	3.05	mean_length	70.10
spheniscus_demersus	3.05	lowest_proximal_width	14.90
spheniscus_demersus	3.05	highest_proximal_width	16.00
spheniscus_demersus	3.05	mean_proximal_width	15.40
spheniscus_demersus	3.05	lowest_midshaft_width	7.00
spheniscus_demersus	3.05	highest_midshaft_width	8.00
spheniscus_demersus	3.05	mean_midshaft_width	7.40
spheniscus_humboldti	4.38	specimen_length	77.34
spheniscus_humboldti	4.38	specimen_midshaft_width	8.54
spheniscus_humboldti	4.38	specimen_proximal_width 	17.23
spheniscus_humboldti	4.38	lowest_length	74.00
spheniscus_humboldti	4.38	highest_length	79.50
spheniscus_humboldti	4.38	mean_length	77.10
spheniscus_humboldti	4.38	lowest_proximal_width	17.00
spheniscus_humboldti	4.38	highest_proximal_width	19.00
spheniscus_humboldti	4.38	mean_proximal_width	18.00
spheniscus_humboldti	4.38	lowest_midshaft_width	8.20
spheniscus_humboldti	4.38	highest_midshaft_width	8.90
spheniscus_humboldti	4.38	mean_midshaft_width	8.50
spheniscus_magellanicus	4.82	lowest_length	72.60
spheniscus_magellanicus	4.82	highest_length	76.80
spheniscus_magellanicus	4.82	mean_length	74.30
spheniscus_magellanicus	4.82	lowest_proximal_width	15.20
spheniscus_magellanicus	4.82	highest_proximal_width	17.00
spheniscus_magellanicus	4.82	mean_proximal_width	16.20
spheniscus_magellanicus	4.82	lowest_midshaft_width	7.20
spheniscus_magellanicus	4.82	highest_midshaft_width	8.10
spheniscus_magellanicus	4.82	mean_midshaft_width	7.70
spheniscus_mendiculus	1.93	NA	NA
spheniscus_mendiculus	1.93	NA	NA
eudyptes_filholi	2.98	NA	NA
eudyptes_filholi	2.98	NA	NA
eudyptes_moseleyi	3.04	NA	NA
eudyptes_moseleyi	3.04	NA	NA
eudyptes_pachyrhynchus	4.10	NA	NA
eudyptes_pachyrhynchus	4.10	NA	NA
eudyptes_robustus	3.00	NA	NA
eudyptes_robustus	3.00	NA	NA
eudyptes_schlegeli	5.20	NA	NA
eudyptes_schlegeli	5.20	NA	NA
eudyptes_sclateri	5.56	NA	NA
eudyptes_sclateri	5.56	NA	NA
megadyptes_antipodes	5.10	NA	NA
megadyptes_antipodes	5.10	NA	NA
